Participant Private ID,Zone Name,Response,Video,metadata,metadata2,Video Code,Full Label,ResponsesQuantised
6010231,WillingnesstoTryagainLikert,Unlikely,1000.mp4,NALA,3009,NAHA1,NAHA1_WillingnesstoTryagainLikert,2
6011284,WillingnesstoTryagainLikert,Very Likely,1008.mp4,NAHA,1000,NAHA6,NAHA6_WillingnesstoTryagainLikert,7
6011284,WillingnesstoTryagainLikert,Very Likely,3008.mp4,NAHA,1001,NALA5,NALA5_WillingnesstoTryagainLikert,7
6011284,WillingnesstoTryagainLikert,Very Likely,3002.mp4,NAHA,1004,NALA2,NALA2_WillingnesstoTryagainLikert,7
6011284,WillingnesstoTryagainLikert,Very Likely,3009.mp4,NAHA,1005,NALA6,NALA6_WillingnesstoTryagainLikert,7
6011284,WillingnesstoTryagainLikert,Somewhat unlikely,3000.mp4,NAHA,1006,NALA1,NALA1_WillingnesstoTryagainLikert,3
6011284,WillingnesstoTryagainLikert,Neutral,1000.mp4,NAHA,1008,NAHA1,NAHA1_WillingnesstoTryagainLikert,4
6011284,WillingnesstoTryagainLikert,Very Unlikely,3004.mp4,NALA,3000,NALA3,NALA3_WillingnesstoTryagainLikert,1
6011284,WillingnesstoTryagainLikert,Somewhat unlikely,1001.mp4,NALA,3002,NAHA2,NAHA2_WillingnesstoTryagainLikert,3
6011284,WillingnesstoTryagainLikert,Somewhat unlikely,1004.mp4,NALA,3004,NAHA3,NAHA3_WillingnesstoTryagainLikert,3
6011284,WillingnesstoTryagainLikert,Very Unlikely,1006.mp4,NALA,3007,NAHA5,NAHA5_WillingnesstoTryagainLikert,1
6011284,WillingnesstoTryagainLikert,Somewhat unlikely,3007.mp4,NALA,3008,NALA4,NALA4_WillingnesstoTryagainLikert,3
6011284,WillingnesstoTryagainLikert,Somewhat likely,1005.mp4,NALA,3009,NAHA4,NAHA4_WillingnesstoTryagainLikert,5
6011641,WillingnesstoTryagainLikert,Neutral,3004.mp4,NAHA,1000,NALA3,NALA3_WillingnesstoTryagainLikert,4
